"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 14, 2016","20.550","20.500","20.550","20.400","249.30K","0.24%"
"Jul 13, 2016","20.500","20.550","20.590","20.290","499.39K","0.00%"
"Jul 12, 2016","20.500","20.090","20.550","20.000","660.13K","2.04%"
"Jul 11, 2016","20.090","20.300","20.900","20.090","169.51K","-0.54%"
"Jul 08, 2016","20.200","19.850","20.260","19.800","247.63K","2.02%"
"Jul 07, 2016","19.800","19.200","19.990","19.200","309.19K","2.70%"
"Jul 06, 2016","19.280","20.490","20.490","18.960","144.79K","-2.63%"
"Jul 05, 2016","19.800","19.990","20.100","19.300","106.30K","-0.70%"
"Jul 04, 2016","19.940","20.000","20.077","19.580","50.86K","0.00%"
"Jul 01, 2016","19.940","19.900","20.050","19.560","450.87K","0.20%"
"Jun 30, 2016","19.900","19.400","19.900","19.090","1.49M","2.58%"
"Jun 29, 2016","19.400","19.000","19.430","18.570","1.28M","4.02%"
"Jun 28, 2016","18.650","18.540","18.680","18.270","908.37K","2.47%"
"Jun 27, 2016","18.200","19.000","19.940","18.170","683.87K","-7.14%"
"Jun 24, 2016","19.600","19.150","19.640","17.600","549.79K","-0.20%"
"Jun 23, 2016","19.640","19.360","19.650","19.300","221.39K","1.45%"
"Jun 22, 2016","19.360","19.260","19.410","19.200","595.17K","0.57%"
"Jun 21, 2016","19.250","19.250","19.372","19.090","850.82K","0.10%"
"Jun 20, 2016","19.230","19.350","19.400","19.110","987.88K","-0.62%"
"Jun 17, 2016","19.350","19.400","19.400","19.100","733.95K","1.84%"
"Jun 16, 2016","19.000","19.550","19.600","18.950","517.48K","-3.80%"
"Jun 15, 2016","19.750","19.300","19.800","19.150","498.66K","3.13%"
"Jun 14, 2016","19.150","19.950","19.950","18.900","729.88K","-3.53%"
"Jun 13, 2016","19.850","19.750","20.050","19.750","201.86K","-1.24%"
"Jun 10, 2016","20.100","20.200","20.250","19.350","937.57K","-0.25%"
"Jun 09, 2016","20.150","21.400","21.950","20.050","2.37M","-6.28%"
"Jun 08, 2016","21.500","21.600","22.150","21.200","1.01M","0.00%"
"Jun 07, 2016","21.500","20.600","21.500","20.450","349.83K","4.88%"
"Jun 06, 2016","20.500","20.200","20.500","20.200","245.32K","0.99%"
"Jun 03, 2016","20.300","19.550","20.400","19.550","509.36K","3.57%"
"Jun 02, 2016","19.600","19.600","19.800","19.400","210.48K","-0.76%"
"Jun 01, 2016","19.750","19.750","19.800","19.450","291.97K","1.02%"
"May 31, 2016","19.550","20.100","20.100","19.400","291.44K","0.51%"
